Date,Campaign Name,Time Zone,Currency,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate,Campaign
2025-08-21,Search_EN_ProductReview_2024.08.05,UTC,USD,565,94,0.166371,69,0.734042,2.55851,3.485507,240.5,1.633628,0.593487,1.0,90.0,0.37422,240.5,0.014492,ProductReview
2025-08-21,Search_EN_Trust_2025.03.17,UTC,USD,98,3,0.030612,1,0.333333,5.0,15.0,15.0,2.27551,0.362962,,,,,,Trust
2025-08-21,Search_EN_Competitors_2024.08.12,UTC,USD,285,14,0.049122,11,0.785714,2.857142,3.636363,40.0,1.445614,0.805084,1.0,76.13,1.90325,40.0,0.090909,Competitors
2025-08-21,Search_EN_Review-variations_2024.04.29,UTC,USD,209,20,0.095693,12,0.6,3.289,5.481666,65.78,2.330143,0.065723,,,,,,Review-variations
2025-08-22,Search_EN_ProductReview_2024.08.05,UTC,USD,555,96,0.172972,69,0.71875,2.504166,3.484057,240.4,1.717117,0.543584,4.0,152.25,0.633319,60.1,0.057971,ProductReview
2025-08-22,Search_EN_Trust_2025.03.17,UTC,USD,86,3,0.034883,2,0.666666,5.0,7.5,15.0,2.686046,0.319702,,,,,,Trust
2025-08-22,Search_EN_Competitors_2024.08.12,UTC,USD,298,14,0.046979,10,0.714285,2.857142,4.0,40.0,1.496644,0.78421,1.0,75.0,1.875,40.0,0.1,Competitors
2025-08-22,Search_EN_Review-variations_2024.04.29,UTC,USD,100,7,0.07,5,0.714285,2.948571,4.128,20.64,2.32,0.03984,1.0,15.22,0.737403,20.64,0.2,Review-variations
2025-08-23,Search_EN_ProductReview_2024.08.05,UTC,USD,652,94,0.144171,73,0.776595,2.568085,3.306849,241.4,1.743865,0.574449,2.0,166.12,0.688152,120.7,0.027397,ProductReview
2025-08-23,Search_EN_Trust_2025.03.17,UTC,USD,69,7,0.101449,4,0.571428,4.714285,8.25,33.0,2.144927,0.418181,,,,,,Trust
2025-08-23,Search_EN_Competitors_2024.08.12,UTC,USD,237,12,0.050632,9,0.75,2.875,3.833333,34.5,1.35443,0.808873,,,,,,Competitors
2025-08-23,Search_EN_Review-variations_2024.04.29,UTC,USD,147,10,0.068027,8,0.8,2.764,3.455,27.64,2.183673,0.075423,,,,,,Review-variations
2025-08-24,Search_EN_ProductReview_2024.08.05,UTC,USD,486,96,0.19753,69,0.71875,2.503125,3.482608,240.3,1.893004,0.597051,2.0,151.35,0.629837,120.15,0.028985,ProductReview
2025-08-24,Search_EN_Review-variations_2024.04.29,UTC,USD,122,14,0.114754,8,0.571428,3.714285,6.5,52.0,2.237704,0.067853,,,,,,Review-variations
2025-08-24,Search_EN_Trust_2025.03.17,UTC,USD,104,8,0.076923,4,0.5,5.0,10.0,40.0,2.365384,0.424489,,,,,,Trust
2025-08-24,Search_EN_Competitors_2024.08.12,UTC,USD,290,11,0.037931,5,0.454545,2.681818,5.9,29.5,1.306896,0.814606,1.0,76.13,2.580677,29.5,0.2,Competitors
2025-08-25,Search_EN_Review-variations_2024.04.29,UTC,USD,175,12,0.068571,6,0.5,3.318333,6.636666,39.82,2.148571,0.056929,,,,,,Review-variations
2025-08-25,Search_EN_ProductReview_2024.08.05,UTC,USD,560,88,0.157142,64,0.727272,2.729545,3.753125,240.2,1.785714,0.494263,,,,,,ProductReview
2025-08-25,Search_EN_Competitors_2024.08.12,UTC,USD,298,14,0.046979,11,0.785714,2.892857,3.681818,40.5,1.285234,0.839436,,,,,,Competitors
2025-08-25,Search_EN_Trust_2025.03.17,UTC,USD,175,5,0.028571,3,0.6,5.0,8.333333,25.0,2.605714,0.550314,,,,,,Trust
2025-08-26,Search_EN_ProductReview_2024.08.05,UTC,USD,567,88,0.155202,61,0.693181,2.711363,3.911475,238.6,1.853615,0.484201,4.0,228.41,0.957292,59.65,0.065573,ProductReview
2025-08-26,Search_EN_Trust_2025.03.17,UTC,USD,138,6,0.043478,5,0.833333,4.666666,5.6,28.0,2.333333,0.466216,,,,,,Trust
2025-08-26,Search_EN_Competitors_2024.08.12,UTC,USD,364,11,0.030219,7,0.636363,2.863636,4.5,31.5,1.434065,0.852459,1.0,75.0,2.380952,31.5,0.142857,Competitors
2025-08-26,Search_EN_Review-variations_2024.04.29,UTC,USD,185,20,0.108108,11,0.55,3.571,6.492727,71.42,2.351351,0.055689,,,,,,Review-variations
2025-08-27,Search_EN_Trust_2025.03.17,UTC,USD,121,4,0.033057,1,0.25,5.0,20.0,20.0,1.966942,0.436823,,,,,,Trust
2025-08-27,Search_EN_Review-variations_2024.04.29,UTC,USD,192,15,0.078125,7,0.466666,2.918666,6.254285,43.78,2.333333,0.063178,,,,,,Review-variations
2025-08-27,Search_EN_ProductReview_2024.08.05,UTC,USD,574,91,0.158536,63,0.692307,2.65934,3.841269,242.0,1.87979,0.465531,3.0,165.68,0.684628,80.666666,0.047619,ProductReview
2025-08-27,Search_EN_Competitors_2024.08.12,UTC,USD,347,12,0.034582,9,0.75,3.041666,4.055555,36.5,1.354466,0.846341,2.0,180.0,4.931506,18.25,0.222222,Competitors
2025-08-28,Search_EN_Competitors_2024.08.12,UTC,USD,368,10,0.027173,6,0.6,2.75,4.583333,27.5,1.429347,0.825112,,,,,,Competitors
2025-08-28,Search_EN_ProductReview_2024.08.05,UTC,USD,667,96,0.143928,72,0.75,2.501041,3.334722,240.1,1.91904,0.553986,1.0,60.92,0.253727,240.1,0.013888,ProductReview
2025-08-28,Search_EN_Trust_2025.03.17,UTC,USD,114,5,0.043859,4,0.8,4.8,6.0,24.0,2.359649,0.447058,,,,,,Trust
2025-08-28,Search_EN_Review-variations_2024.04.29,UTC,USD,172,18,0.104651,12,0.666666,3.644444,5.466666,65.6,1.924418,0.059515,1.0,60.91,0.928506,65.6,0.083333,Review-variations
2025-08-29,Search_EN_Competitors_2024.08.12,UTC,USD,254,14,0.055118,10,0.714285,3.035714,4.25,42.5,1.366141,0.808917,1.0,60.9,1.432941,42.5,0.1,Competitors
2025-08-29,Search_EN_ProductReview_2024.08.05,UTC,USD,479,87,0.181628,61,0.701149,2.787356,3.975409,242.5,1.782881,0.502096,1.0,76.14,0.313979,242.5,0.016393,ProductReview
2025-08-29,Search_EN_Review-variations_2024.04.29,UTC,USD,189,24,0.126984,12,0.5,3.5875,7.175,86.1,2.068783,0.067644,1.0,30.44,0.353542,86.1,0.083333,Review-variations
2025-08-29,Search_EN_Trust_2025.03.17,UTC,USD,115,4,0.034782,3,0.75,5.0,6.666666,20.0,2.573913,0.465587,,,,,,Trust
2025-08-30,Search_EN_ProductReview_2024.08.05,UTC,USD,569,96,0.168717,76,0.791666,2.5,3.157894,240.0,1.794376,0.51916,3.0,196.82,0.820083,80.0,0.039473,ProductReview
2025-08-30,Search_EN_Review-variations_2024.04.29,UTC,USD,107,10,0.093457,6,0.6,3.25,5.416666,32.5,2.373831,0.056824,,,,,,Review-variations
2025-08-30,Search_EN_Trust_2025.03.17,UTC,USD,90,6,0.066666,6,1.0,5.0,5.0,30.0,2.288888,0.430622,,,,,,Trust
2025-08-30,Search_EN_Competitors_2024.08.12,UTC,USD,264,10,0.037878,8,0.8,3.05,3.8125,30.5,1.321969,0.891891,,,,,,Competitors
2025-08-31,Search_EN_Competitors_2024.08.12,UTC,USD,183,14,0.076502,8,0.571428,2.892857,5.0625,40.5,1.218579,0.892682,,,,,,Competitors
2025-08-31,Search_EN_Review-variations_2024.04.29,UTC,USD,145,13,0.089655,9,0.692307,2.92,4.217777,37.96,2.110344,0.081828,,,,,,Review-variations
2025-08-31,Search_EN_Trust_2025.03.17,UTC,USD,94,3,0.031914,0,0.0,7.0,0.0,21.0,2.180851,0.484536,,,,,,Trust
2025-08-31,Search_EN_ProductReview_2024.08.05,UTC,USD,519,91,0.175337,65,0.714285,2.647252,3.706153,240.9,2.021194,0.542319,2.0,90.0,0.373599,120.45,0.030769,ProductReview
2025-09-01,Search_EN_Review-variations_2024.04.29,UTC,USD,190,15,0.078947,12,0.8,3.788,4.735,56.82,2.110526,0.073189,1.0,60.0,1.055966,56.82,0.083333,Review-variations
2025-09-01,Search_EN_ProductReview_2024.08.05,UTC,USD,548,95,0.173357,73,0.768421,2.516842,3.275342,239.1,1.711678,0.513589,2.0,136.12,0.569301,119.55,0.027397,ProductReview
2025-09-01,Search_EN_Competitors_2024.08.12,UTC,USD,336,10,0.029761,8,0.8,2.75,3.4375,27.5,1.300595,0.831683,,,,,,Competitors
2025-09-01,Search_EN_Trust_2025.03.17,UTC,USD,111,7,0.063063,4,0.571428,4.714285,8.25,33.0,2.36036,0.478448,1.0,90.0,2.727272,33.0,0.25,Trust
2025-09-02,Search_EN_Trust_2025.03.17,UTC,USD,122,5,0.040983,3,0.6,4.8,8.0,24.0,2.180327,0.431095,1.0,90.0,3.75,24.0,0.333333,Trust
2025-09-02,Search_EN_Review-variations_2024.04.29,UTC,USD,186,13,0.069892,8,0.615384,3.266153,5.3075,42.46,2.258064,0.059028,,,,,,Review-variations
2025-09-02,Search_EN_Competitors_2024.08.12,UTC,USD,318,11,0.034591,5,0.454545,2.636363,5.8,29.0,1.389937,0.783251,,,,,,Competitors
2025-09-02,Search_EN_ProductReview_2024.08.05,UTC,USD,502,85,0.169322,65,0.764705,2.862352,3.743076,243.3,1.669322,0.536898,2.0,151.1,0.621043,121.65,0.030769,ProductReview
2025-09-03,Search_EN_Competitors_2024.08.12,UTC,USD,420,11,0.02619,9,0.818181,2.818181,3.444444,31.0,1.354761,0.871369,3.0,182.7,5.893548,10.333333,0.333333,Competitors
2025-09-03,Search_EN_Trust_2025.03.17,UTC,USD,105,3,0.028571,1,0.333333,5.0,15.0,15.0,2.561904,0.425101,,,,,,Trust
2025-09-03,Search_EN_Review-variations_2024.04.29,UTC,USD,178,15,0.084269,12,0.8,2.909333,3.636666,43.64,2.061797,0.054334,,,,,,Review-variations
2025-09-03,Search_EN_ProductReview_2024.08.05,UTC,USD,584,93,0.159246,67,0.72043,2.577419,3.577611,239.7,1.729452,0.508268,2.0,167.46,0.698623,119.85,0.02985,ProductReview
2025-09-04,Search_EN_Trust_2025.03.17,UTC,USD,112,5,0.044642,2,0.4,4.8,12.0,24.0,2.330357,0.35443,,,,,,Trust
2025-09-04,Search_EN_Review-variations_2024.04.29,UTC,USD,203,20,0.098522,13,0.65,2.966,4.563076,59.32,2.182266,0.067129,,,,,,Review-variations
2025-09-04,Search_EN_ProductReview_2024.08.05,UTC,USD,615,86,0.139837,62,0.72093,2.784883,3.862903,239.5,1.786991,0.574229,1.0,76.14,0.317912,239.5,0.016129,ProductReview
2025-09-04,Search_EN_Competitors_2024.08.12,UTC,USD,272,14,0.05147,8,0.571428,2.892857,5.0625,40.5,1.5,0.790697,,,,,,Competitors
