Date,Change Type,Campaign,Keyword,Match Type,From,To,Direction,P2 Installs
"~Feb 24, 2026",Bid Change,Competitors,loox review,exact,$2.00,$3.00,▲ Raised,6
"~Feb 24, 2026",Bid Change,ProductReview,reviews app,exact,$2.00,$3.00,▲ Raised,35
"~Feb 24, 2026",Bid Change,Competitors,trustoo reviews,exact,$2.00,$3.00,▲ Raised,9
"~Feb 24, 2026",Bid Change,Competitors,okendo,exact,$3.50,$5.00,▲ Raised,5
"~Feb 24, 2026",Bid Change,ProductReview,customer reviews,exact,$2.00,$3.00,▲ Raised,4
"~Feb 24, 2026",Bid Change,Features,review importer,exact,$3.60,$4.50,▲ Raised,30
"~Feb 24, 2026",Bid Change,Competitors,loox - photo reviews,exact,$2.00,$3.00,▲ Raised,0
"~Feb 24, 2026",Bid Change,Competitors,yotpo reviews,exact,$2.00,$3.50,▲ Raised,2
"~Feb 24, 2026",Bid Change,Competitors,rivo reviews,exact,$2.00,$3.00,▲ Raised,0
"~Feb 24, 2026",Bid Change,ProductReview,review,exact,$1.50,$2.00,▲ Raised,468
"~Feb 24, 2026",Bid Change,ProductReview,shopify product reviews,exact,$1.00,$2.00,▲ Raised,121
"~Feb 24, 2026",Bid Change,Features,reviews importer,exact,$3.20,$4.00,▲ Raised,39
"~Feb 24, 2026",Keyword Added,Features,review carousel,broad,—,$3.50 bid,➕ New,0
"~Feb 24, 2026",Keyword Added,Features,ebay reviews importer,exact,—,$4.00 bid,➕ New,0
"~Feb 24, 2026",Keyword Added,ProductReview,review widget,broad,—,$4.00 bid,➕ New,111
"~Feb 24, 2026",Keyword Added,ProductReview,video review app,exact,—,$4.00 bid,➕ New,0
"~Feb 24, 2026",Keyword Added,Competitors,fera reviews,exact,—,$2.50 bid,➕ New,0
"~Feb 24, 2026",Keyword Added,Competitors,vitals reviews,exact,—,$2.50 bid,➕ New,0
"~Feb 24, 2026",Keyword Added,Features,review syndication,exact,—,$4.00 bid,➕ New,0
"~Feb 24, 2026",Keyword Added,Competitors,stamped reviews,exact,—,$3.00 bid,➕ New,0
"~Feb 24, 2026",Keyword Added,Features,aliexpress reviews,exact,—,$4.00 bid,➕ New,5
"~Feb 24, 2026",Keyword Added,Competitors,growave reviews,exact,—,$2.50 bid,➕ New,0
"~Feb 24, 2026",Keyword Added,Competitors,loox reviews,exact,—,$3.50 bid,➕ New,10
"~Feb 24, 2026",Keyword Added,ProductReview,shopify store reviews,exact,—,$2.50 bid,➕ New,0
"~Feb 24, 2026",Keyword Added,ProductReview,dropshipping reviews,exact,—,$3.50 bid,➕ New,0
"~Feb 24, 2026",Keyword Added,Features,google shopping reviews,exact,—,$4.00 bid,➕ New,0
"~Feb 24, 2026",Keyword Added,ProductReview,ecommerce reviews,exact,—,$3.00 bid,➕ New,0
"~Feb 24, 2026",Keyword Added,Features,review request email,exact,—,$3.50 bid,➕ New,0
"~Feb 24, 2026",Keyword Added,Competitors,stamped.io,exact,—,$3.00 bid,➕ New,1
"~Feb 24, 2026",Keyword Added,ProductReview,photo review app,exact,—,$4.00 bid,➕ New,0
"~Feb 24, 2026",Keyword Dropped,Competitors,looks reviews,exact,$1.00 bid,—,➖ Removed,—
"~Feb 24, 2026",Keyword Dropped,Competitors,io reviews,exact,$1.00 bid,—,➖ Removed,—
"~Feb 24, 2026",Keyword Dropped,Competitors,look review,exact,$1.00 bid,—,➖ Removed,—
"~Feb 24, 2026",Keyword Dropped,Competitors,loot reviews,exact,$1.00 bid,—,➖ Removed,—
"~Feb 24, 2026",Keyword Dropped,Competitors,look reviews,exact,$1.00 bid,—,➖ Removed,—
"~Feb 24, 2026",Keyword Dropped,Competitors,klayvio reviews,exact,$2.00 bid,—,➖ Removed,—
"~Feb 24, 2026",Keyword Dropped,Competitors,looks reviews and photos,exact,$1.00 bid,—,➖ Removed,—
"Mar 18 – Apr 15, 2026",Bid Change,Trust,stars,broad,$5.00,$7.00,▲ Raised,81
"Mar 18 – Apr 15, 2026",Bid Change,ProductReview,review widget,broad,$4.00,$5.00,▲ Raised,282
"Mar 18 – Apr 15, 2026",Bid Change,Features,amazon reviews,exact,$3.00,$4.00,▲ Raised,57
"Mar 18 – Apr 15, 2026",Bid Change,ProductReview,google reviews,exact,$5.00,$4.00,▼ Lowered,171
"Mar 18 – Apr 15, 2026",Bid Change,Competitors,loox reviews,exact,$3.50,$4.50,▲ Raised,29
"Mar 18 – Apr 15, 2026",Bid Change,ProductReview,review,exact,$2.00,$2.50,▲ Raised,1836
"Mar 18 – Apr 15, 2026",Bid Change,ProductReview,shopify product reviews,exact,$2.00,$3.50,▲ Raised,385
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,customer testimonial,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,testimonial,broad,—,$2.50 bid (active),➕ New,76
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,shopify review,exact,—,$3.37 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,adding reviews,broad,—,$3.76 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,testimonial slider,exact,—,$3.00 bid (active),➕ New,22
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,free product review,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,customer testimonial,broad,—,$2.33 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,product app,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,testimonial slider,broad,—,$3.00 bid (active),➕ New,17
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,feedback app,broad,—,$3.00 bid (active),➕ New,2
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,free product review,broad,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,product app,broad,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,BrandProtection,judge me reviews,exact,—,$0.30 bid (active),➕ New,14
"Mar 18 – Apr 15, 2026",Keyword Added,Review-variations,export amazon reviews,exact,—,$3.00 bid (paused),➕ New,0
"Mar 18 – Apr 15, 2026",Keyword Added,ProductReview,shopify product review,exact,—,$5.00 bid (active),➕ New,3
