App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Keyword,Match Type,Status,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate,Campaign,_snap,_date,kw,mt
Judge.me Product Reviews App,Search_EN_BrandProtection_2024.10.08,2026-01-16,2026-04-15,UTC,USD,judge me,exact,active,0.2,6804,198,0.0291,121,0.611111,0.2,0.327272,39.6,2.992945,0.851777,6.0,151.35,3.821969,6.6,0.049586,BrandProtection,Apr15,2026-04-15,judge me,exact
Judge.me Product Reviews App,Search_EN_BrandProtection_2024.10.08,2026-01-16,2026-04-15,UTC,USD,judge,exact,active,0.2,2702,244,0.090303,188,0.770491,0.199999,0.259574,48.8,1.870096,0.912837,2.0,60.22,1.234016,24.4,0.010638,BrandProtection,Apr15,2026-04-15,judge,exact
Judge.me Product Reviews App,Search_EN_BrandProtection_2024.10.08,2026-01-16,2026-04-15,UTC,USD,judge me reviews,exact,active,0.3,562,19,0.033807,14,0.736842,0.3,0.407142,5.7,3.153024,0.381793,1.0,15.0,2.631578,5.7,0.071428,BrandProtection,Apr15,2026-04-15,judge me reviews,exact
Judge.me Product Reviews App,Search_EN_BrandProtection_2024.10.08,2026-01-16,2026-04-15,UTC,USD,judge.me product reviews,exact,active,0.3,229,8,0.034934,7,0.875,0.3,0.342857,2.4,3.716157,0.09219,,,,,,BrandProtection,Apr15,2026-04-15,judge.me product reviews,exact
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,amazon reviews importer,broad,active,5.0,12496,839,0.067141,619,0.737783,5.0,6.777059,4195.0,2.697983,0.251839,10.0,210.9,0.050274,419.5,0.016155,Features,Apr15,2026-04-15,amazon reviews importer,broad
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,etsy importer,broad,active,5.0,5344,258,0.048278,171,0.66279,5.0,7.543859,1290.0,2.459393,0.178281,6.0,120.89,0.093713,215.0,0.035087,Features,Apr15,2026-04-15,etsy importer,broad
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,carousel,broad,active,6.0,1699,42,0.02472,15,0.357142,6.0,16.8,252.0,1.972925,0.506408,,,,,,Features,Apr15,2026-04-15,carousel,broad
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,ugc,broad,active,7.0,1448,38,0.026243,11,0.289473,7.0,24.181818,266.0,2.658839,0.455919,,,,,,Features,Apr15,2026-04-15,ugc,broad
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,amazon reviews,exact,active,4.0,914,92,0.100656,57,0.619565,3.173913,5.122807,292.0,1.725382,0.900492,2.0,60.46,0.207054,146.0,0.035087,Features,Apr15,2026-04-15,amazon reviews,exact
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,reviews importer,exact,active,4.0,811,124,0.152897,88,0.709677,3.664516,5.163636,454.4,1.44143,0.971257,2.0,45.0,0.099031,227.2,0.022727,Features,Apr15,2026-04-15,reviews importer,exact
