App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Search Term,Keyword,Match Type,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-02-24,2026-03-17,UTC,USD,loox,loox,exact,3.0,2114,85,0.040208,52,0.611764,3.0,4.903846,255.0,1.023178,0.948407,,,,,
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-02-24,2026-03-17,UTC,USD,trustoo,trustoo,exact,2.5,1277,35,0.027407,21,0.6,2.5,4.166666,87.5,2.176977,0.951564,,,,,
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-02-24,2026-03-17,UTC,USD,trustpilot,trustpilot,exact,2.5,784,46,0.058673,23,0.5,2.5,5.0,115.0,1.140306,0.956097,,,,,
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-02-24,2026-03-17,UTC,USD,trustoo reviews,trustoo reviews,exact,3.0,329,15,0.045592,9,0.6,3.0,5.0,45.0,1.753799,0.918994,,,,,
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-02-24,2026-03-17,UTC,USD,loox reviews,loox reviews,exact,3.5,315,13,0.041269,10,0.76923,3.5,4.55,45.5,1.101587,0.929203,,,,,
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-02-24,2026-03-17,UTC,USD,okendo,okendo,exact,5.0,312,9,0.028846,5,0.555555,4.833333,8.7,43.5,1.115384,0.928571,,,,,
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-02-24,2026-03-17,UTC,USD,trustoo.io reviews,trustoo.io reviews,exact,3.0,307,4,0.013029,2,0.5,3.0,6.0,12.0,2.283387,0.887283,,,,,
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-02-24,2026-03-17,UTC,USD,yotpo reviews,yotpo reviews,exact,3.5,138,3,0.021739,2,0.666666,3.5,5.25,10.5,2.362318,0.766666,,,,,
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-02-24,2026-03-17,UTC,USD,stamped.io,stamped.io,exact,3.0,111,2,0.018018,1,0.5,3.0,6.0,6.0,2.27027,0.917355,,,,,
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-02-24,2026-03-17,UTC,USD,loox review,loox review,exact,3.0,108,8,0.074074,6,0.75,2.875,3.833333,23.0,1.203703,0.972972,,,,,
