App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Search Term,Keyword,Match Type,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,reviews importer,reviews importer,exact,4.0,326,58,0.177914,39,0.672413,3.986206,5.928205,231.2,1.266871,0.964497,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,ali reviews,amazon reviews importer,broad,5.0,302,11,0.036423,9,0.818181,5.0,6.111111,55.0,2.23841,0.946708,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,aliexpress reviews,aliexpress reviews,exact,4.0,233,6,0.025751,5,0.833333,4.0,4.8,24.0,2.845493,0.932,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,amazon reviews,amazon reviews,exact,3.0,222,22,0.099099,13,0.590909,3.0,5.076923,66.0,2.0,0.94468,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,review importer,review importer,exact,4.5,215,36,0.167441,30,0.833333,4.449999,5.34,160.2,1.097674,0.955555,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,carousel,carousel,broad,6.0,201,5,0.024875,3,0.6,6.0,10.0,30.0,1.472636,0.917808,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,bk reviews,amazon reviews importer,broad,5.0,171,3,0.017543,2,0.666666,5.0,7.5,15.0,1.584795,0.909574,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,ugc,ugc,broad,7.0,158,2,0.012658,2,1.0,7.0,7.0,14.0,2.860759,0.550522,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,amazon,amazon reviews importer,broad,5.0,146,1,0.006849,0,0.0,5.0,0.0,5.0,4.828767,0.054928,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,product review app,amazon reviews importer,broad,5.0,145,26,0.17931,21,0.807692,5.0,6.190476,130.0,1.593103,0.805555,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,etsy reviews,etsy importer,broad,5.0,140,11,0.078571,8,0.727272,5.0,6.875,55.0,1.071428,0.95238,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,tydal product reviews,amazon reviews importer,broad,5.0,119,6,0.05042,4,0.666666,5.0,7.5,30.0,2.058823,0.804054,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,shopify product review,amazon reviews importer,broad,5.0,115,5,0.043478,3,0.6,5.0,8.333333,25.0,1.469565,0.839416,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,reviews product,amazon reviews importer,broad,5.0,111,28,0.252252,22,0.785714,5.0,6.363636,140.0,1.288288,0.965217,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,amazon review,amazon reviews importer,broad,5.0,109,9,0.082568,6,0.666666,5.0,7.5,45.0,1.486238,0.931623,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,shopify reviews,amazon reviews importer,broad,5.0,108,3,0.027777,2,0.666666,5.0,7.5,15.0,1.333333,0.878048,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,import reviews,etsy importer,broad,5.0,104,15,0.14423,9,0.6,5.0,8.333333,75.0,1.51923,0.962962,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,etsy,etsy importer,broad,5.0,90,2,0.022222,0,0.0,5.0,0.0,10.0,4.388888,0.04482,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,review import,etsy importer,broad,5.0,88,19,0.215909,16,0.842105,5.0,5.9375,95.0,1.125,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,amazon importer,amazon reviews importer,broad,5.0,86,1,0.011627,0,0.0,5.0,0.0,5.0,3.209302,0.28013,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,air review,amazon reviews importer,broad,5.0,79,0,0.0,0,0.0,0.0,0.0,0.0,2.405063,0.692982,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,google customer reviews,amazon reviews importer,broad,5.0,78,0,0.0,0,0.0,0.0,0.0,0.0,2.217948,0.757281,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,amazone,amazon reviews importer,broad,5.0,63,1,0.015873,1,1.0,5.0,5.0,5.0,2.714285,0.759036,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,ali review,amazon reviews importer,broad,5.0,61,2,0.032786,1,0.5,5.0,10.0,10.0,3.442622,0.709302,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,video carousel,carousel,broad,6.0,60,2,0.033333,1,0.5,6.0,12.0,12.0,3.133333,0.173913,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,air reviews,amazon reviews importer,broad,5.0,60,3,0.05,2,0.666666,5.0,7.5,15.0,2.233333,0.722891,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,referrly,referrals,broad,4.0,45,2,0.044444,2,1.0,4.0,4.0,8.0,3.0,0.681818,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,xml import,etsy importer,broad,5.0,44,1,0.022727,0,0.0,5.0,0.0,5.0,3.045454,0.556962,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,bk review,amazon reviews importer,broad,5.0,41,0,0.0,0,0.0,0.0,0.0,0.0,3.365853,0.554054,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,wise reviews,amazon reviews importer,broad,5.0,40,0,0.0,0,0.0,0.0,0.0,0.0,2.175,0.754716,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,free review,amazon reviews importer,broad,5.0,39,9,0.230769,7,0.777777,5.0,6.428571,45.0,1.871794,0.951219,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,elfsight google reviews,amazon reviews importer,broad,5.0,39,0,0.0,0,0.0,0.0,0.0,0.0,2.358974,0.735849,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,importer,etsy importer,broad,5.0,36,1,0.027777,0,0.0,5.0,0.0,5.0,2.583333,0.610169,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,reviews google,amazon reviews importer,broad,5.0,33,7,0.212121,5,0.714285,5.0,7.0,35.0,2.090909,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,google reviews plus,amazon reviews importer,broad,5.0,33,1,0.030303,1,1.0,5.0,5.0,5.0,2.939393,0.402439,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,q,q&a,broad,6.0,25,1,0.04,0,0.0,6.0,0.0,6.0,1.28,0.833333,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,ali express reviews,amazon reviews importer,broad,5.0,23,3,0.130434,3,1.0,5.0,5.0,15.0,3.130434,0.741935,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,reputon google reviews,amazon reviews importer,broad,5.0,22,0,0.0,0,0.0,0.0,0.0,0.0,2.40909,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,fake review,amazon reviews importer,broad,5.0,22,1,0.045454,1,1.0,5.0,5.0,5.0,2.681818,0.916666,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,amazon review importer,amazon reviews importer,broad,5.0,21,1,0.047619,1,1.0,5.0,5.0,5.0,1.619047,0.954545,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,ebay reviews,amazon reviews importer,broad,5.0,20,0,0.0,0,0.0,0.0,0.0,0.0,4.3,0.30303,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,image carousel,carousel,broad,6.0,19,0,0.0,0,0.0,0.0,0.0,0.0,3.947368,0.267605,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,reviews import,etsy importer,broad,5.0,19,0,0.0,0,0.0,0.0,0.0,0.0,4.789473,0.575757,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,judge.me importer,etsy importer,broad,5.0,18,2,0.111111,2,1.0,5.0,5.0,10.0,1.222222,0.947368,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,amazon import,amazon reviews importer,broad,5.0,17,0,0.0,0,0.0,0.0,0.0,0.0,4.470588,0.13492,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,review aliexpress,amazon reviews importer,broad,5.0,16,6,0.375,3,0.5,5.0,10.0,30.0,2.1875,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,amazon affiliate,amazon reviews importer,broad,5.0,15,0,0.0,0,0.0,0.0,0.0,0.0,3.933333,0.098039,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,free review importer,etsy importer,broad,5.0,15,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.9375,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,ez amazon,amazon reviews importer,broad,5.0,14,0,0.0,0,0.0,0.0,0.0,0.0,2.214285,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,review free,amazon reviews importer,broad,5.0,13,0,0.0,0,0.0,0.0,0.0,0.0,3.384615,0.866666,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,amazon dropshipping,amazon reviews importer,broad,5.0,13,0,0.0,0,0.0,0.0,0.0,0.0,4.384615,0.059633,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,aliexpress review,amazon reviews importer,broad,5.0,13,4,0.307692,3,0.75,5.0,6.666666,20.0,2.076923,0.928571,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,a2 review,amazon reviews importer,broad,5.0,13,0,0.0,0,0.0,0.0,0.0,0.0,2.230769,0.361111,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,question,question,broad,5.0,12,0,0.0,0,0.0,0.0,0.0,0.0,1.666666,0.923076,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,aliexpress reviews,amazon reviews importer,broad,5.0,12,1,0.083333,0,0.0,5.0,0.0,5.0,2.333333,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,snippets,rich snippet,broad,5.0,11,0,0.0,0,0.0,0.0,0.0,0.0,1.090909,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,snippet,rich snippet,broad,5.0,11,1,0.090909,0,0.0,5.0,0.0,5.0,1.272727,0.6875,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,review carousel,carousel,broad,6.0,11,0,0.0,0,0.0,0.0,0.0,0.0,3.181818,0.846153,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,trustoo reviews,amazon reviews importer,broad,5.0,11,1,0.090909,1,1.0,5.0,5.0,5.0,1.727272,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,amazon mcf,amazon reviews importer,broad,5.0,11,0,0.0,0,0.0,0.0,0.0,0.0,3.090909,0.048672,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,judge me importer,etsy importer,broad,5.0,11,1,0.090909,0,0.0,5.0,0.0,5.0,1.90909,0.6875,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,etsy integration,etsy importer,broad,5.0,11,0,0.0,0,0.0,0.0,0.0,0.0,3.727272,0.032258,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,ugc review,ugc,broad,7.0,11,0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.407407,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,judge review,amazon reviews importer,broad,5.0,10,6,0.6,3,0.5,5.0,10.0,30.0,1.6,0.833333,1,15.0,0.5,30.0,0.333333
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,coupon,coupons,broad,2.0,10,0,0.0,0,0.0,0.0,0.0,0.0,4.3,0.072992,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,review stars,amazon reviews importer,broad,5.0,9,0,0.0,0,0.0,0.0,0.0,0.0,2.555555,0.642857,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,amazon reviews importer,amazon reviews importer,broad,5.0,9,0,0.0,0,0.0,0.0,0.0,0.0,2.777777,0.642857,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,importly,etsy importer,broad,5.0,9,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,import,etsy importer,broad,5.0,9,0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.032142,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,etsy syn,etsy importer,broad,5.0,9,0,0.0,0,0.0,0.0,0.0,0.0,3.111111,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,logo carousel,carousel,broad,6.0,8,0,0.0,0,0.0,0.0,0.0,0.0,2.5,0.615384,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,reviews amazon,amazon reviews importer,broad,5.0,8,0,0.0,0,0.0,0.0,0.0,0.0,2.75,0.8,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,importar reviews shopee,amazon reviews importer,broad,5.0,8,0,0.0,0,0.0,0.0,0.0,0.0,3.625,0.888888,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,cs amazon,amazon reviews importer,broad,5.0,8,0,0.0,0,0.0,0.0,0.0,0.0,3.375,0.421052,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,amazon by codisto,amazon reviews importer,broad,5.0,8,0,0.0,0,0.0,0.0,0.0,0.0,3.875,0.421052,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,store importer,etsy importer,broad,5.0,8,0,0.0,0,0.0,0.0,0.0,0.0,2.625,0.049382,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,import review,etsy importer,broad,5.0,8,0,0.0,0,0.0,0.0,0.0,0.0,1.75,0.888888,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,import blog,etsy importer,broad,5.0,8,0,0.0,0,0.0,0.0,0.0,0.0,2.75,0.571428,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,blog importer,etsy importer,broad,5.0,8,0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.470588,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,ugc video,ugc,broad,7.0,8,0,0.0,0,0.0,0.0,0.0,0.0,1.75,0.205128,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,q&a,q&a,broad,6.0,7,0,0.0,0,0.0,0.0,0.0,0.0,1.142857,0.875,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,skape ? slider & carousel,carousel,broad,6.0,7,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,homepage carousel,carousel,broad,6.0,7,0,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,carousel slider,carousel,broad,6.0,7,0,0.0,0,0.0,0.0,0.0,0.0,1.428571,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,trustoo.io importer,etsy importer,broad,5.0,7,0,0.0,0,0.0,0.0,0.0,0.0,1.571428,0.875,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,metafields import,etsy importer,broad,5.0,7,0,0.0,0,0.0,0.0,0.0,0.0,4.0,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,magic review import,etsy importer,broad,5.0,7,0,0.0,0,0.0,0.0,0.0,0.0,3.714285,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,json import,etsy importer,broad,5.0,7,0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.875,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,import products,etsy importer,broad,5.0,7,0,0.0,0,0.0,0.0,0.0,0.0,2.714285,0.044585,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,import product,etsy importer,broad,5.0,7,0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.093333,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,etsy marketplace,etsy importer,broad,5.0,7,0,0.0,0,0.0,0.0,0.0,0.0,3.857142,0.318181,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,altera ? export and import,etsy importer,broad,5.0,7,0,0.0,0,0.0,0.0,0.0,0.0,2.571428,0.7,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,klip coupons,coupons,broad,2.0,7,0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.636363,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,referral and affiliate,referrals,broad,4.0,7,0,0.0,0,0.0,0.0,0.0,0.0,1.571428,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,horizontal scroll / carousels,carousel,broad,6.0,6,1,0.166666,0,0.0,6.0,0.0,6.0,1.0,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,video review,amazon reviews importer,broad,5.0,6,0,0.0,0,0.0,0.0,0.0,0.0,1.666666,0.3,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,trustoo io reviews,amazon reviews importer,broad,5.0,6,0,0.0,0,0.0,0.0,0.0,0.0,1.833333,0.333333,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,reviews widget,amazon reviews importer,broad,5.0,6,1,0.166666,0,0.0,5.0,0.0,5.0,2.0,0.75,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,reviews section,amazon reviews importer,broad,5.0,6,0,0.0,0,0.0,0.0,0.0,0.0,2.166666,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,reviews audio,amazon reviews importer,broad,5.0,6,0,0.0,0,0.0,0.0,0.0,0.0,4.0,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,review slider,amazon reviews importer,broad,5.0,6,0,0.0,0,0.0,0.0,0.0,0.0,3.333333,0.666666,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,amazon pay,amazon reviews importer,broad,5.0,6,0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.166666,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,etsy marketplace integration,etsy importer,broad,5.0,6,0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.031578,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,csv import,etsy importer,broad,5.0,6,0,0.0,0,0.0,0.0,0.0,0.0,5.833333,0.089552,,,,,
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-02-24,2026-03-17,UTC,USD,cedcommerce etsy integration,etsy importer,broad,5.0,6,0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.4,,,,,
