App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Search Term,Keyword,Match Type,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate
Judge.me Product Reviews App,Search_EN_Trust_2025.03.17,2026-02-24,2026-03-17,UTC,USD,social proof,social proof,broad,5.0,156,4,0.025641,2,0.5,5.0,10.0,20.0,3.717948,0.330508,,,,,
Judge.me Product Reviews App,Search_EN_Trust_2025.03.17,2026-02-24,2026-03-17,UTC,USD,comment,comments,broad,4.0,54,12,0.222222,8,0.666666,4.0,6.0,48.0,1.037037,0.981818,,,,,
Judge.me Product Reviews App,Search_EN_Trust_2025.03.17,2026-02-24,2026-03-17,UTC,USD,star,stars,broad,5.0,51,7,0.137254,6,0.857142,5.0,5.833333,35.0,2.196078,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Trust_2025.03.17,2026-02-24,2026-03-17,UTC,USD,comments,comments,broad,4.0,49,10,0.204081,6,0.6,4.0,6.666666,40.0,1.0,0.960784,,,,,
Judge.me Product Reviews App,Search_EN_Trust_2025.03.17,2026-02-24,2026-03-17,UTC,USD,proof,social proof,broad,5.0,40,0,0.0,0,0.0,0.0,0.0,0.0,2.35,0.851063,,,,,
Judge.me Product Reviews App,Search_EN_Trust_2025.03.17,2026-02-24,2026-03-17,UTC,USD,stars,stars,broad,5.0,28,3,0.107142,2,0.666666,5.0,7.5,15.0,1.142857,0.875,,,,,
Judge.me Product Reviews App,Search_EN_Trust_2025.03.17,2026-02-24,2026-03-17,UTC,USD,bear proof,social proof,broad,5.0,17,0,0.0,0,0.0,0.0,0.0,0.0,2.117647,0.73913,,,,,
Judge.me Product Reviews App,Search_EN_Trust_2025.03.17,2026-02-24,2026-03-17,UTC,USD,section star,stars,broad,5.0,16,0,0.0,0,0.0,0.0,0.0,0.0,1.875,0.207792,,,,,
Judge.me Product Reviews App,Search_EN_Trust_2025.03.17,2026-02-24,2026-03-17,UTC,USD,social,social proof,broad,5.0,16,0,0.0,0,0.0,0.0,0.0,0.0,4.5,0.063492,,,,,
Judge.me Product Reviews App,Search_EN_Trust_2025.03.17,2026-02-24,2026-03-17,UTC,USD,social proof delivery,social proof,broad,5.0,14,0,0.0,0,0.0,0.0,0.0,0.0,2.5,1.0,,,,,
Judge.me Product Reviews App,Search_EN_Trust_2025.03.17,2026-02-24,2026-03-17,UTC,USD,ask a question,question,broad,8.0,14,2,0.142857,0,0.0,8.0,0.0,16.0,1.214285,0.933333,,,,,
Judge.me Product Reviews App,Search_EN_Trust_2025.03.17,2026-02-24,2026-03-17,UTC,USD,star ratin,stars,broad,5.0,8,1,0.125,1,1.0,5.0,5.0,5.0,2.75,1.0,,,,,
