App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Surface,Subsurface,Status,Daily Budget,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate,Campaign
Judge.me Product Reviews App,Search_BR_PT_Generic_2025.07.06,2026-01-16,2026-04-15,UTC,USD,appstore_search,appstore_search,active,50.0,9025,306,0.033905,127,0.415032,4.882352,11.763779,1494.0,2.587257,0.410227,1.0,30.0,0.02008,1494.0,0.007874,BR-PT-Generic
Judge.me Product Reviews App,Search_EN_Trust_2025.03.17,2026-01-16,2026-04-15,UTC,USD,appstore_search,appstore_search,active,50.0,5110,265,0.051859,167,0.630188,4.966037,7.880239,1316.0,2.618199,0.311832,5.0,151.14,0.114848,263.2,0.02994,Trust
Judge.me Product Reviews App,Search_EN_BrandProtection_2024.10.08,2026-01-16,2026-04-15,UTC,USD,appstore_search,appstore_search,active,80.0,10295,469,0.045556,330,0.703624,0.205756,0.292424,96.5,2.723263,0.690893,9.0,226.57,2.347875,10.722222,0.027272,BrandProtection
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2026-01-16,2026-04-15,UTC,USD,appstore_search,appstore_search,active,90.0,24988,1518,0.060749,1055,0.694993,4.792621,6.895924,7275.2,2.483712,0.258407,22.0,467.47,0.064255,330.690909,0.020853,Features
Judge.me Product Reviews App,Search_IT_Generic_2024.08.12,2026-01-16,2026-04-15,UTC,USD,appstore_search,appstore_search,active,30.0,622,157,0.252411,109,0.694267,4.022292,5.793577,631.5,1.331189,0.668817,1.0,15.23,0.024117,631.5,0.009174,IT-Generic
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2026-01-16,2026-04-15,UTC,USD,appstore_search,appstore_search,active,40.0,24683,946,0.038325,624,0.659619,2.920718,4.427884,2763.0,1.580277,0.871359,25.0,544.08,0.196916,110.52,0.040064,Competitors
Judge.me Product Reviews App,Search_EN_ProductReview_2024.08.05,2026-01-16,2026-04-15,UTC,USD,appstore_search,appstore_search,active,240.0,48800,8616,0.176557,6524,0.757195,2.479538,3.274632,21363.7,1.908893,0.72338,165.0,3971.72,0.185909,129.476969,0.025291,ProductReview
Judge.me Product Reviews App,Search_ES_Generic_2025.03.17,2026-01-16,2026-04-15,UTC,USD,appstore_search,appstore_search,active,100.0,13997,977,0.0698,717,0.733879,3.742599,5.099748,3656.52,2.403229,0.13502,9.0,196.37,0.053704,406.28,0.012552,ES-Generic
Judge.me Product Reviews App,Search_DE_Generic_2024.05.07,2026-01-16,2026-04-15,UTC,USD,appstore_search,appstore_search,active,30.0,14581,431,0.029559,236,0.547563,2.766635,5.052627,1192.42,3.291543,0.073379,7.0,212.47,0.178183,170.345714,0.029661,DE-Generic
Judge.me Product Reviews App,Search_FR_Generic_2025.03.17,2026-01-16,2026-04-15,UTC,USD,appstore_search,appstore_search,active,30.0,3220,521,0.161801,375,0.719769,3.317869,4.609626,1728.61,2.127018,0.21951,12.0,304.49,0.176147,144.050833,0.032,FR-Generic
Judge.me Product Reviews App,Categories_Store design_Social proof_24.04,2026-01-16,2026-04-15,UTC,USD,appstore_category,c511bf74-4684-4712-943a-397d9fe87e28,active,50.0,187,7,0.037433,3,0.428571,3.16,7.373333,22.12,3.17647,0.115789,,,,,,Categories_Store design_Social proof_24.04
Judge.me Product Reviews App,Search_EN_Review-variations_2024.04.29,2026-01-16,2026-04-15,UTC,USD,appstore_search,appstore_search,active,100.0,15928,918,0.057634,572,0.623093,3.361045,5.394125,3085.44,2.50226,0.094432,4.0,106.13,0.034397,771.36,0.006993,Review-variations
