Country Code,Campaign,Impressions,Clicks,Installs,Spend,Customers,Revenue
AC,Features,0,0,0,0.0,0.0,0.0
AD,BR-PT-Generic,3,0,0,0.0,0.0,0.0
AD,BrandProtection,2,0,0,0.0,0.0,0.0
AD,Competitors,2,0,0,0.0,0.0,0.0
AD,DE-Generic,0,0,0,0.0,0.0,0.0
AD,ES-Generic,4,0,0,0.0,0.0,0.0
AD,Features,0,0,0,0.0,0.0,0.0
AD,ProductReview,2,2,1,6.1,0.0,0.0
AD,Review-variations,0,0,0,0.0,0.0,0.0
AE,BR-PT-Generic,4,0,0,0.0,0.0,0.0
AE,BrandProtection,174,12,10,2.4,0.0,0.0
AE,Competitors,343,15,10,45.0,0.0,0.0
AE,DE-Generic,196,1,1,2.79,0.0,0.0
AE,ES-Generic,126,3,2,9.120000000000001,0.0,0.0
AE,Features,381,20,14,94.2,0.0,0.0
AE,IT-Generic,5,1,1,2.0,0.0,0.0
AE,ProductReview,812,183,132,453.0,3.0,60.0
AE,Review-variations,307,13,6,41.82,0.0,0.0
AE,Trust,75,5,4,29.0,0.0,0.0
AF,Competitors,2,0,0,0.0,0.0,0.0
AF,DE-Generic,3,0,0,0.0,0.0,0.0
AF,ES-Generic,0,0,0,0.0,0.0,0.0
AF,Features,3,1,1,5.0,0.0,0.0
AF,ProductReview,4,0,0,0.0,0.0,0.0
AF,Review-variations,10,0,0,0.0,0.0,0.0
AF,Trust,5,0,0,0.0,0.0,0.0
AG,BrandProtection,1,0,0,0.0,0.0,0.0
AG,ES-Generic,1,0,0,0.0,0.0,0.0
AG,Features,1,0,0,0.0,0.0,0.0
AG,ProductReview,1,0,0,0.0,0.0,0.0
AG,Review-variations,0,0,0,0.0,0.0,0.0
AI,Review-variations,1,0,0,0.0,0.0,0.0
AL,BR-PT-Generic,0,0,0,0.0,0.0,0.0
AL,BrandProtection,3,0,0,0.0,0.0,0.0
AL,Competitors,2,0,0,0.0,0.0,0.0
AL,DE-Generic,5,0,0,0.0,0.0,0.0
AL,ES-Generic,7,0,0,0.0,0.0,0.0
AL,Features,14,2,2,10.0,0.0,0.0
AL,ProductReview,8,2,1,3.6,0.0,0.0
AL,Review-variations,8,0,0,0.0,0.0,0.0
AL,Trust,0,0,0,0.0,0.0,0.0
AM,BrandProtection,4,1,0,0.2,0.0,0.0
AM,Competitors,2,0,0,0.0,0.0,0.0
AM,DE-Generic,2,0,0,0.0,0.0,0.0
AM,ES-Generic,0,0,0,0.0,0.0,0.0
AM,Features,5,0,0,0.0,0.0,0.0
AM,ProductReview,5,0,0,0.0,0.0,0.0
AM,Review-variations,0,0,0,0.0,0.0,0.0
AM,Trust,1,0,0,0.0,0.0,0.0
AO,BR-PT-Generic,37,4,3,20.0,0.0,0.0
AO,BrandProtection,0,0,0,0.0,0.0,0.0
AO,Competitors,9,0,0,0.0,0.0,0.0
AO,DE-Generic,2,0,0,0.0,0.0,0.0
AO,ES-Generic,6,0,0,0.0,0.0,0.0
AO,Features,4,0,0,0.0,0.0,0.0
AO,ProductReview,21,1,1,2.1,0.0,0.0
AO,Review-variations,0,0,0,0.0,0.0,0.0
AO,Trust,0,0,0,0.0,0.0,0.0
AR,BR-PT-Generic,430,8,2,40.0,0.0,0.0
AR,BrandProtection,56,1,1,0.2,0.0,0.0
AR,Competitors,491,8,6,25.0,0.0,0.0
AR,DE-Generic,95,1,1,2.79,0.0,0.0
AR,ES-Generic,478,54,45,208.14,2.0,45.0
AR,Features,90,11,8,53.0,0.0,0.0
AR,IT-Generic,6,1,1,2.0,0.0,0.0
AR,ProductReview,138,29,20,73.8,1.0,15.0
AR,Review-variations,84,7,6,21.14,0.0,0.0
AR,Trust,88,0,0,0.0,0.0,0.0
AT,BR-PT-Generic,6,0,0,0.0,0.0,0.0
AT,BrandProtection,40,1,0,0.2,0.0,0.0
AT,Competitors,87,3,3,8.5,0.0,0.0
AT,DE-Generic,260,22,13,58.25,1.0,45.68
AT,ES-Generic,41,0,0,0.0,0.0,0.0
AT,Features,59,2,2,10.0,0.0,0.0
AT,ProductReview,185,28,22,69.9,2.0,60.89
AT,Review-variations,61,4,4,16.5,0.0,0.0
AT,Trust,25,2,1,10.0,0.0,0.0
AU,BR-PT-Generic,5,0,0,0.0,0.0,0.0
AU,BrandProtection,315,15,6,3.0,0.0,0.0
AU,Competitors,665,33,24,107.5,1.0,15.0
AU,DE-Generic,223,3,1,9.79,0.0,0.0
AU,ES-Generic,190,2,1,5.52,0.0,0.0
AU,Features,705,47,34,219.9,2.0,30.22
AU,IT-Generic,1,1,1,2.5,0.0,0.0
AU,ProductReview,2570,461,348,1240.0,10.0,257.95
AU,Review-variations,285,27,18,88.5,2.0,76.13
AU,Trust,171,5,3,30.0,0.0,0.0
AW,DE-Generic,1,0,0,0.0,0.0,0.0
AW,ES-Generic,0,0,0,0.0,0.0,0.0
AW,ProductReview,4,1,0,2.5,0.0,0.0
AW,Review-variations,0,0,0,0.0,0.0,0.0
AX,DE-Generic,0,0,0,0.0,0.0,0.0
AZ,BR-PT-Generic,1,0,0,0.0,0.0,0.0
AZ,BrandProtection,7,0,0,0.0,0.0,0.0
AZ,Competitors,7,0,0,0.0,0.0,0.0
AZ,DE-Generic,8,0,0,0.0,0.0,0.0
AZ,ES-Generic,10,0,0,0.0,0.0,0.0
AZ,Features,15,0,0,0.0,0.0,0.0
AZ,ProductReview,26,1,0,2.1,0.0,0.0
AZ,Review-variations,5,0,0,0.0,0.0,0.0
AZ,Trust,6,0,0,0.0,0.0,0.0
