Device Type,Campaign,Impressions,Clicks,Installs,Spend,Customers,Revenue
desktop,BR-PT-Generic,5735,184,108,885.0,1.0,30.0
desktop,BrandProtection,10295,469,330,96.5,9.0,226.57
desktop,Competitors,24683,946,624,2763.0,25.0,544.08
desktop,DE-Generic,14571,431,236,1192.42,7.0,212.47
desktop,ES-Generic,13986,977,717,3656.52,9.0,196.37
desktop,FR-Generic,3219,521,375,1728.61,12.0,304.49
desktop,Features,24975,1518,1055,7275.2,22.0,467.47
desktop,IT-Generic,622,157,109,631.5,1.0,15.23
desktop,ProductReview,48801,8616,6524,21363.7,165.0,3971.7200000000003
desktop,Review-variations,15919,918,572,3085.44,4.0,106.13
desktop,Trust,5108,265,167,1316.0,5.0,151.14
mobile,BR-PT-Generic,3287,122,19,609.0,0.0,0.0
