Shop Plan,Campaign,Impressions,Clicks,Installs,Spend,Customers,Revenue
Advanced,BR-PT-Generic,261,6,3,30.0,0.0,0.0
Advanced,BrandProtection,296,11,8,2.4,0.0,0.0
Advanced,Competitors,880,31,21,97.5,4.0,105.44
Advanced,DE-Generic,406,15,11,42.69,0.0,0.0
Advanced,ES-Generic,380,25,13,92.58,0.0,0.0
Advanced,FR-Generic,89,9,6,32.0,1.0,15.23
Advanced,Features,844,47,34,230.7,0.0,0.0
Advanced,IT-Generic,10,3,2,12.0,0.0,0.0
Advanced,ProductReview,1498,256,179,624.4,13.0,270.9
Advanced,Review-variations,419,23,15,73.46,0.0,0.0
Advanced,Trust,148,12,5,58.0,0.0,0.0
Basic,BR-PT-Generic,4477,160,98,774.0,1.0,30.0
Basic,BrandProtection,7611,369,273,75.8,4.0,105.9
Basic,Competitors,16916,725,507,2103.5,18.0,363.64
Basic,DE-Generic,8971,312,179,864.49,4.0,121.57
Basic,ES-Generic,9964,811,606,3042.56,6.0,120.68
Basic,FR-Generic,2512,449,329,1484.61,9.0,243.59
Basic,Features,17120,1144,831,5468.7,15.0,317.03
Basic,IT-Generic,514,134,97,534.0,1.0,15.23
Basic,ProductReview,36185,6714,5325,16490.7,106.0,2539.08
Basic,Review-variations,11156,704,466,2361.22,3.0,91.13
Basic,Trust,3465,194,132,972.0,3.0,75.68
Grow,BR-PT-Generic,606,16,7,75.0,0.0,0.0
Grow,BrandProtection,949,44,25,8.9,5.0,120.67
Grow,Competitors,2810,83,44,240.5,2.0,45.0
Grow,DE-Generic,1428,51,29,139.05,2.0,60.900000000000006
Grow,ES-Generic,1462,67,47,247.94,3.0,75.69
Grow,FR-Generic,235,28,19,92.0,2.0,45.67
Grow,Features,2154,122,79,589.4,7.0,150.44
Grow,IT-Generic,40,12,8,50.5,0.0,0.0
Grow,ProductReview,5303,857,571,2274.0,42.0,1086.51
Grow,Review-variations,1628,83,48,267.38,1.0,15.0
Grow,Trust,651,30,21,144.0,2.0,75.46000000000001
Plus,BR-PT-Generic,49,0,0,0.0,0.0,0.0
Plus,BrandProtection,141,6,4,1.2000000000000002,0.0,0.0
Plus,Competitors,771,12,5,43.5,1.0,30.0
Plus,DE-Generic,279,10,1,28.83,1.0,30.0
Plus,ES-Generic,261,2,0,6.52,0.0,0.0
Plus,FR-Generic,52,0,0,0.0,0.0,0.0
Plus,Features,357,12,5,53.5,0.0,0.0
Plus,IT-Generic,3,1,0,4.5,0.0,0.0
Plus,ProductReview,673,67,24,192.0,2.0,45.0
Plus,Review-variations,194,8,1,33.5,0.0,0.0
Plus,Trust,108,2,0,12.0,0.0,0.0
Retail,BR-PT-Generic,0,0,0,0.0,0.0,0.0
Retail,BrandProtection,2,0,0,0.0,0.0,0.0
Retail,Competitors,1,0,0,0.0,0.0,0.0
Retail,DE-Generic,0,0,0,0.0,0.0,0.0
Retail,ES-Generic,7,0,0,0.0,0.0,0.0
Retail,FR-Generic,0,0,0,0.0,0.0,0.0
Retail,Features,1,0,0,0.0,0.0,0.0
Retail,ProductReview,4,0,0,0.0,0.0,0.0
Retail,Review-variations,5,0,0,0.0,0.0,0.0
Retail,Trust,0,0,0,0.0,0.0,0.0
Trial,BR-PT-Generic,1684,48,17,237.0,0.0,0.0
Trial,BrandProtection,849,29,19,6.2,0.0,0.0
Trial,Competitors,2252,58,42,166.5,0.0,0.0
Trial,DE-Generic,1955,22,13,57.21,0.0,0.0
Trial,ES-Generic,1082,59,48,219.32,0.0,0.0
Trial,FR-Generic,180,23,19,82.0,0.0,0.0
Trial,Features,2271,130,95,615.5,0.0,0.0
Trial,IT-Generic,19,3,2,12.0,0.0,0.0
Trial,ProductReview,2193,458,366,1116.7,0.0,0.0
Trial,Review-variations,1145,58,40,194.74,0.0,0.0
Trial,Trust,294,14,8,72.0,0.0,0.0
not_applicable,BR-PT-Generic,1945,76,2,378.0,0.0,0.0
not_applicable,BrandProtection,447,10,1,2.0,0.0,0.0
not_applicable,Competitors,1053,37,5,111.5,0.0,0.0
not_applicable,DE-Generic,1532,21,3,60.15,0.0,0.0
not_applicable,ES-Generic,830,13,3,47.6,0.0,0.0
not_applicable,FR-Generic,151,12,2,38.0,0.0,0.0
not_applicable,Features,2228,63,11,317.4,0.0,0.0
not_applicable,IT-Generic,36,4,0,18.5,0.0,0.0
not_applicable,ProductReview,2945,264,59,665.9,2.0,30.23
not_applicable,Review-variations,1372,42,2,155.14,0.0,0.0
not_applicable,Trust,442,13,1,58.0,0.0,0.0
