Country Code,Campaign,Impressions,Clicks,Installs,Spend,Customers,Revenue
AC,Features,0,0,0,0.0,0.0,0.0
AD,BrandProtection,2,0,0,0.0,0.0,0.0
AD,Competitors,4,0,0,0.0,0.0,0.0
AD,Features,0,0,0,0.0,0.0,0.0
AD,ProductReview,2,2,1,6.1,0.0,0.0
AD,Review-variations,0,0,0,0.0,0.0,0.0
AE,BrandProtection,184,13,11,2.6,0.0,0.0
AE,Competitors,353,14,9,42.0,0.0,0.0
AE,Features,359,18,12,84.2,0.0,0.0
AE,PLUS-ProductReview,1,0,0,0.0,0.0,0.0
AE,ProductReview,822,186,137,451.8,3.0,45.0
AE,Review-variations,286,10,3,32.82,0.0,0.0
AE,Trust,77,3,3,15.0,0.0,0.0
AF,Competitors,2,0,0,0.0,0.0,0.0
AF,Features,3,1,1,5.0,0.0,0.0
AF,ProductReview,4,0,0,0.0,0.0,0.0
AF,Review-variations,10,0,0,0.0,0.0,0.0
AF,Trust,2,0,0,0.0,0.0,0.0
AG,BrandProtection,1,0,0,0.0,0.0,0.0
AG,Features,1,0,0,0.0,0.0,0.0
AG,ProductReview,3,1,1,1.5,0.0,0.0
AG,Review-variations,0,0,0,0.0,0.0,0.0
AI,ProductReview,0,0,0,0.0,0.0,0.0
AI,Review-variations,1,0,0,0.0,0.0,0.0
AL,BrandProtection,3,0,0,0.0,0.0,0.0
AL,Competitors,2,0,0,0.0,0.0,0.0
AL,Features,11,1,1,5.0,0.0,0.0
AL,ProductReview,8,2,1,3.6,0.0,0.0
AL,Review-variations,9,0,0,0.0,0.0,0.0
AL,Trust,0,0,0,0.0,0.0,0.0
AM,BrandProtection,4,1,0,0.2,0.0,0.0
AM,Competitors,0,0,0,0.0,0.0,0.0
AM,Features,4,0,0,0.0,0.0,0.0
AM,ProductReview,5,1,0,2.1,0.0,0.0
AM,Review-variations,0,0,0,0.0,0.0,0.0
AM,Trust,2,0,0,0.0,0.0,0.0
AO,BrandProtection,0,0,0,0.0,0.0,0.0
AO,Competitors,14,0,0,0.0,0.0,0.0
AO,Features,4,0,0,0.0,0.0,0.0
AO,ProductReview,21,1,1,2.1,0.0,0.0
AO,Review-variations,0,0,0,0.0,0.0,0.0
AO,Trust,0,0,0,0.0,0.0,0.0
AR,BrandProtection,55,1,1,0.2,0.0,0.0
AR,Competitors,493,6,6,19.0,0.0,0.0
AR,Features,76,8,6,38.0,0.0,0.0
AR,ProductReview,156,27,18,68.8,1.0,15.0
AR,Review-variations,81,7,6,21.14,0.0,0.0
AR,Trust,91,0,0,0.0,0.0,0.0
AT,BrandProtection,38,1,0,0.2,0.0,0.0
AT,Competitors,85,4,3,11.0,0.0,0.0
AT,Features,73,3,3,15.0,0.0,0.0
AT,ProductReview,182,31,24,75.9,2.0,30.450000000000003
AT,Review-variations,59,3,3,12.5,0.0,0.0
AT,Trust,27,2,1,10.0,0.0,0.0
