Shop Plan,Campaign,Impressions,Clicks,Installs,Spend,Customers,Revenue
Advanced,BrandProtection,290,12,9,2.6,1.0,45.0
Advanced,Competitors,877,28,19,85.5,4.0,120.44
Advanced,Features,807,40,27,197.7,0.0,0.0
Advanced,ProductReview,1496,258,181,613.8,12.0,270.91
Advanced,Review-variations,375,23,14,75.46,0.0,0.0
Advanced,Trust,153,12,5,58.0,0.0,0.0
Basic,BrandProtection,7660,370,277,76.10000000000001,3.0,75.68
Basic,Competitors,17731,762,531,2163.5,18.0,424.99
Basic,Features,16825,1160,846,5524.6,14.0,332.25
Basic,ProductReview,36856,6898,5448,16607.0,114.0,2600.87
Basic,Review-variations,10669,704,460,2394.38,3.0,75.9
Basic,Trust,3726,202,136,978.0,3.0,75.68
Grow,BrandProtection,948,48,30,9.8,6.0,150.89
Grow,Competitors,2890,81,43,230.5,2.0,45.0
Grow,Features,2084,120,77,588.9,6.0,120.44
Grow,ProductReview,5279,870,580,2259.2,47.0,1132.85
Grow,Review-variations,1529,81,45,261.52,1.0,30.0
Grow,Trust,663,29,20,140.0,2.0,45.230000000000004
Plus,BrandProtection,139,6,4,1.2000000000000002,0.0,0.0
Plus,Competitors,755,11,4,41.0,1.0,30.0
Plus,Features,321,10,4,45.5,0.0,0.0
Plus,PLUS-ProductReview,232,36,11,119.0,3.0,105.0
Plus,ProductReview,640,66,23,190.2,2.0,45.0
Plus,Review-variations,188,10,3,38.32,1.0,45.0
Plus,Trust,127,5,0,36.0,0.0,0.0
Retail,BrandProtection,2,0,0,0.0,0.0,0.0
Retail,Competitors,1,0,0,0.0,0.0,0.0
Retail,Features,1,0,0,0.0,0.0,0.0
Retail,ProductReview,3,0,0,0.0,0.0,0.0
Retail,Review-variations,5,0,0,0.0,0.0,0.0
Retail,Trust,0,0,0,0.0,0.0,0.0
Trial,BrandProtection,868,29,19,6.1,0.0,0.0
Trial,Competitors,2394,58,41,167.0,0.0,0.0
Trial,Features,2238,135,98,637.3,0.0,0.0
Trial,ProductReview,2279,481,383,1131.9,0.0,0.0
Trial,Review-variations,1071,60,40,203.56,0.0,0.0
Trial,Trust,299,15,9,74.0,0.0,0.0
not_applicable,BrandProtection,466,9,1,1.8,0.0,0.0
not_applicable,Competitors,1070,38,4,115.0,0.0,0.0
not_applicable,Features,2077,69,12,346.2,0.0,0.0
not_applicable,ProductReview,2889,270,66,658.5,3.0,60.69
not_applicable,Review-variations,1304,44,5,156.14,0.0,0.0
not_applicable,Trust,444,12,1,54.0,0.0,0.0
