App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Surface,Subsurface,Status,Daily Budget,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate,Campaign
Judge.me Product Reviews App,Placement_Home_2025.11.17,2025-04-07,2026-04-07,UTC,USD,appstore_homepage,appstore_homepage_top,paused,20.0,53229,569,0.010689,108,0.189806,2.0,10.537037,1138.0,3.207011,0.01432,1.0,15.0,0.013181,1138.0,0.009259,Placement-Home
Judge.me Product Reviews App,Search_EN_Exploration_Instagram_03.09.2025,2025-04-07,2026-04-07,UTC,USD,appstore_search,appstore_search,paused,20.0,4364,18,0.004124,8,0.444444,2.0,4.5,36.0,2.334326,0.133182,1.0,15.22,0.422777,36.0,0.125,Exploration-Instagram
Judge.me Ali Reviews Importer,AERI_KWs_Exploration_18.08.2025,2025-04-07,2026-04-07,UTC,USD,appstore_search,appstore_search,paused,30.0,32210,1412,0.043837,878,0.621813,3.0,4.824601,4236.0,2.724588,0.141923,,,,,,AERI-Exploration
Judge.me Product Reviews App,Search_EN_Exploration_Etsy_2025.05.19,2025-04-07,2026-04-07,UTC,USD,appstore_search,appstore_search,paused,5.0,150,0,0.0,0,0.0,0.0,0.0,0.0,2.986666,0.080645,,,,,,Exploration-Etsy
Judge.me Product Reviews App,Search_EN_Exploration_Google_2025.05.19,2025-04-07,2026-04-07,UTC,USD,appstore_search,appstore_search,paused,5.0,696,23,0.033045,9,0.391304,2.0,5.111111,46.0,2.658045,0.114248,,,,,,Exploration-Google
Judge.me Product Reviews App,Search_EN_Trust_2025.03.17,2025-04-07,2026-04-07,UTC,USD,appstore_search,appstore_search,active,50.0,44944,1875,0.041718,1069,0.570133,4.656,8.16651,8730.0,2.232111,0.45565,33.0,2156.49,0.24702,264.545454,0.030869,Trust
Judge.me Product Reviews App,Search_EN_Exploration_SEO_2025.03.10,2025-04-07,2026-04-07,UTC,USD,appstore_search,appstore_search,paused,10.0,2151,29,0.013482,19,0.655172,3.137931,4.789473,91.0,3.429567,0.025608,1.0,90.0,0.98901,91.0,0.052631,Exploration-SEO
Judge.me Product Reviews App,Search_EN_PLUS_ProductReview_2024.12.31,2025-04-07,2026-04-07,UTC,USD,appstore_search,appstore_search,paused,10.0,3344,305,0.091208,109,0.357377,3.170491,8.871559,967.0,2.482954,0.726324,33.0,3030.0,3.133402,29.30303,0.302752,PLUS-ProductReview
Judge.me Product Reviews App,Search_EN_BrandProtection_2024.10.08,2025-04-07,2026-04-07,UTC,USD,appstore_search,appstore_search,active,20.0,45966,4052,0.088152,3073,0.75839,0.20955,0.276309,849.1,1.867619,0.777937,145.0,12193.69,14.360723,5.855862,0.047185,BrandProtection
Judge.me Product Reviews App,Search_EN_SocialProof_2024.08.22,2025-04-07,2026-04-07,UTC,USD,appstore_search,appstore_search,paused,10.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,SocialProof
Judge.me Product Reviews App,Search_EN_Features_2024.08.19,2025-04-07,2026-04-07,UTC,USD,appstore_search,appstore_search,active,90.0,86629,5864,0.06769,4012,0.684174,4.663301,6.815952,27345.6,2.429267,0.26104,124.0,7427.05,0.271599,220.529032,0.030907,Features
Judge.me Product Reviews App,Search_EN_Competitors_2024.08.12,2025-04-07,2026-04-07,UTC,USD,appstore_search,appstore_search,active,40.0,108815,4186,0.038468,2720,0.649784,2.818442,4.3375,11798.0,1.42506,0.851494,156.0,10444.13,0.885245,75.628205,0.057352,Competitors
Judge.me Product Reviews App,Search_EN_ProductReview_2024.08.05,2025-04-07,2026-04-07,UTC,USD,appstore_search,appstore_search,active,240.0,222258,35398,0.159265,26261,0.741878,2.39379,3.226663,84735.4,2.007923,0.617965,849.0,50672.11,0.598004,99.806124,0.032329,ProductReview
Judge.me Product Reviews App,Search_PT_Generic_2025.03.17,2025-04-07,2026-04-07,UTC,USD,appstore_search,appstore_search,paused,40.0,44458,842,0.018939,519,0.616389,3.087007,5.008208,2599.26,2.898893,0.138765,13.0,1342.21,0.516381,199.943076,0.025048,PT-Generic
Judge.me Product Reviews App,SPR Campaign_Categories_Marketing & Conversion,2025-04-07,2026-04-07,UTC,USD,appstore_category,df9c6256-b11a-4d79-b829-16bd11c0444f,paused,10.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,SPR Campaign_Categories_Marketing & Conversion
Judge.me Product Reviews App,SPR Campaign_Categories_Store design,2025-04-07,2026-04-07,UTC,USD,appstore_category,7df441d9-3234-4d22-9b2d-884dd1ef5158,paused,10.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,SPR-StoreDesign
Judge.me Product Reviews App,SPR Campaign_Homepage,2025-04-07,2026-04-07,UTC,USD,appstore_homepage,appstore_homepage_top,paused,20.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,SPR-Homepage
Judge.me Product Reviews App,Search_EN_Review-variations_2024.04.29,2025-04-07,2026-04-07,UTC,USD,appstore_search,appstore_search,active,100.0,58983,4383,0.074309,2684,0.612365,3.396897,5.547168,14888.6,2.344963,0.068474,85.0,6410.84,0.430587,175.16,0.031669,Review-variations
Judge.me Product Reviews App,Search_2021.02,2025-04-07,2026-04-07,UTC,USD,appstore_search,appstore_search,paused,120.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Search-Legacy
